ID,high_elev,pixels_tot,pixels_lit,area_tot,area_lit,specLit_histLit_perc,specLit_curTotLake_perc
1,1202,9359212,981577,93592120,9815770,0,10.48781671
2,1192,8888581,1268342,88885810,12683420,29.21472284,14.26934175
3,1182,5812399,1157707,58123990,11577070,17.94357447,19.91788588
4,1172,5276344,1060840,52763440,10608400,8.075066959,20.10558826
5,1162,4654698,713717,46546980,7137170,-27.28874047,15.33326115
6,1152,4215519,581619,42155190,5816190,-40.74647226,13.79709118
7,1142,3941003,631639,39410030,6316390,-35.65059083,16.02736664
8,1132,3633928,742221,36339280,7422210,-24.38484194,20.424758
9,1122,3309388,932319,33093880,9323190,-5.018251243,28.17194599
10,1112,2891754,886347,28917540,8863470,-9.701735065,30.65084374
11,1102,2377112,789656,23771120,7896560,-19.55231225,33.21913313
12,1092,2005445,950112,20054450,9501120,-3.205555957,47.37661716
13,1082,1587497,1323706,15874970,13237060,34.8550343,83.38321269
14,1072,1055406,1055406,10554060,10554060,7.521468005,100
15,1062,263866,263866,2638660,2638660,-73.11815578,100
