ID,high_elev,pixels_tot,pixels_lit,area_tot,area_lit,specLit_histLit_perc,specLit_curTotLake_perc
1,1202,9359212,671046,935921200,67104600,100,7.169898491
2,1201,9308818,665713,930881800,66571300,99.20527058,7.151423521
3,1200,9264727,663520,926472700,66352000,98.87846735,7.16178685
4,1199,9223131,712091,922313100,71209100,106.1165703,7.720707859
5,1198,9181654,670614,918165400,67061400,99.93562289,7.303847433
6,1197,9138508,696626,913850800,69662600,103.8119592,7.622973028
7,1196,9090365,764837,909036500,76483700,113.9768362,8.413710561
8,1195,9026048,749013,902604800,74901300,111.6187266,8.298349399
9,1194,8978410,754048,897841000,75404800,112.3690477,8.398458079
10,1193,8933292,708930,893329200,70893000,105.6455146,7.9358203
11,1192,8888581,722910,888858100,72291000,107.7288293,8.133019207
12,1191,8843292,753770,884329200,75377000,112.3276199,8.523635768
13,1190,8794586,792096,879458600,79209600,118.0390018,9.006632035
14,1189,8733448,821472,873344800,82147200,122.4166451,9.40604444
15,1188,8688170,867562,868817000,86756200,129.2850267,9.985555071
16,1187,8643111,922520,864311100,92252000,137.4749272,10.67347162
17,1186,8601208,980969,860120800,98096900,146.1850603,11.40501427
18,1185,8557809,1040730,855780900,104073000,155.0907091,12.1611735
19,1184,8511051,1094936,851105100,109493600,163.1685458,12.86487415
20,1183,8441888,1120356,844188800,112035600,166.9566617,13.27139142
21,1182,5812399,802528,581239900,80252800,119.5935897,13.80717325
22,1181,5782352,846193,578235200,84619300,126.1005952,14.6340624
23,1180,5751072,882503,575107200,88250300,131.5115506,15.34501742
24,1179,5716729,912764,571672900,91276400,136.0210775,15.96654311
25,1178,5677560,925076,567756000,92507600,137.8558251,16.29354864
26,1177,5626409,922225,562640900,92222500,137.430966,16.39100535
27,1176,5563188,908496,556318800,90849600,135.3850556,16.33049252
28,1175,5495903,885286,549590300,88528600,131.9262763,16.10810817
29,1174,5427011,857739,542701100,85773900,127.8211926,15.80499837
30,1173,5351145,826637,535114500,82663700,123.1863389,15.44785275
31,1172,5276344,805075,527634400,80507500,119.9731464,15.25819772
32,1171,5205679,791705,520567900,79170500,117.9807346,15.20848673
33,1170,5139315,779257,513931500,77925700,116.1257201,15.16266273
34,1169,5077340,761468,507734000,76146800,113.4747841,14.99738052
35,1168,5009877,728823,500987700,72882300,108.609991,14.54772243
36,1167,4936162,683221,493616200,68322100,101.8143317,13.84113811
37,1166,4868580,653076,486858000,65307600,97.32209118,13.4140961
38,1165,4803971,618266,480397100,61826600,92.13466737,12.86989451
39,1164,4752489,594441,475248900,59444100,88.58424013,12.50799318
40,1163,4704192,573596,470419200,57359600,85.4778957,12.19329483
41,1162,4654698,550811,465469800,55081100,82.08245038,11.83344226
42,1161,4610621,533716,461062100,53371600,79.53493501,11.57579424
43,1160,4569276,519369,456927600,51936900,77.39692957,11.3665491
44,1159,4524513,501857,452451300,50185700,74.78727241,11.0919562
45,1158,4471280,474393,447128000,47439300,70.69455745,10.60978064
46,1157,4413979,444252,441397900,44425200,66.20291306,10.06466048
47,1156,4360063,419082,436006300,41908200,62.45205247,9.61183359
48,1155,4315875,404557,431587500,40455700,60.28752127,9.373695948
49,1154,4281059,399228,428105900,39922800,59.49338793,9.325449614
50,1153,4252950,400529,425295000,40052900,59.68726436,9.41767479
51,1152,4215519,392958,421551900,39295800,58.55902576,9.321699179
52,1151,4185713,393032,418571300,39303200,58.57005332,9.389845888
53,1150,4158055,396346,415805500,39634600,59.06390918,9.532004747
54,1149,4130606,400625,413060600,40062500,59.70157038,9.698940059
55,1148,4103898,405662,410389800,40566200,60.45218957,9.884797332
56,1147,4076916,410724,407691600,41072400,61.20653428,10.07437975
57,1146,4049913,416013,404991300,41601300,61.99470677,10.27214659
58,1145,4022669,421384,402266900,42138400,62.79509899,10.47523423
59,1144,3996902,427156,399690200,42715600,63.65524867,10.68717722
60,1143,3969751,432007,396975100,43200700,64.37814993,10.88247097
61,1142,3941003,434772,394100300,43477200,64.79019322,11.03201393
62,1141,3911354,437162,391135400,43716200,65.1463536,11.1767434
63,1140,3881853,439648,388185300,43964800,65.51682001,11.32572511
64,1139,3852454,443087,385245400,44308700,66.02930351,11.50142221
65,1138,3822596,445805,382259600,44580500,66.4343428,11.66236244
66,1137,3792710,449730,379271000,44973000,67.01925054,11.85774815
67,1136,3761729,452365,376172900,45236500,67.41192109,12.02545425
68,1135,3730003,455718,373000300,45571800,67.91158877,12.21763092
69,1134,3698264,460346,369826400,46034600,68.60125833,12.44762407
70,1133,3666223,466212,366622300,46621200,69.47541599,12.71641141
71,1132,3633928,473053,363392800,47305300,70.4948692,13.01767674
72,1131,3601323,481371,360132300,48137100,71.73442655,13.36650448
73,1130,3569785,493407,356978500,49340700,73.52804428,13.82175677
74,1129,3537790,506086,353779000,50608600,75.41748256,14.3051453
75,1128,3506274,520194,350627400,52019400,77.51987196,14.83609096
76,1127,3474219,534974,347421900,53497400,79.72240353,15.39839601
77,1126,3442248,550541,344224800,55054100,82.04221469,15.99364717
78,1125,3409395,567004,340939500,56700400,84.49554874,16.63063388
79,1124,3376820,584758,337682000,58475800,87.141269,17.3168247
80,1123,3343011,603223,334301100,60322300,89.89294326,18.04430198
81,1122,3309388,622158,330938800,62215800,92.71465742,18.79979017
82,1121,3274334,641141,327433400,64114100,95.54352459,19.58080636
83,1120,3237963,664490,323796300,66449000,99.0230178,20.52185278
84,1119,3200040,689974,320004000,68997400,102.820671,21.56141798
85,1118,3031741,696205,303174100,69620500,103.7492214,22.96386796
86,1117,3120007,704201,312000700,70420100,104.9407939,22.57049423
87,1116,3076422,699353,307642200,69935300,104.2183397,22.73267452
88,1115,3031741,696205,303174100,69620500,103.7492214,22.96386796
89,1114,2986134,685561,298613400,68556100,102.163041,22.95814588
90,1113,2939301,673632,293930100,67363200,100.3853685,22.91810196
91,1112,2891754,660927,289175400,66092700,98.49205569,22.85557485
92,1111,2842447,647020,284244700,64702000,96.41961952,22.7627815
93,1110,2792106,633425,279210600,63342500,94.39367793,22.68628054
94,1109,2739834,622095,273983400,62209500,92.70526909,22.70557267
95,1108,2687273,606952,268727300,60695200,90.44864287,22.58616821
96,1107,2633243,590115,263324300,59011500,87.93957493,22.41019913
97,1106,2573531,568124,257353100,56812400,84.66245235,22.0756618
98,1105,2510134,543014,251013400,54301400,80.92053302,21.632869
99,1104,2459624,531538,245962400,53153800,79.2103671,21.61053885
100,1103,2415850,526997,241585000,52699700,78.53366237,21.81414409
101,1102,2377112,528298,237711200,52829800,78.7275388,22.22436301
102,1101,2335577,528140,233557700,52814000,78.70399347,22.61282758
103,1100,2300594,535988,230059400,53598800,79.87351091,23.29780917
104,1099,2265699,543741,226569900,54374100,81.02887134,23.99881891
105,1098,2230862,552749,223086200,55274900,82.37125324,24.77737305
106,1097,2195449,562518,219544900,56251800,83.82704017,25.62200261
107,1096,2158712,571256,215871200,57125600,85.12918637,26.46281672
108,1095,2117771,574372,211777100,57437200,85.59353606,27.12153486
109,1094,2080368,582225,208036800,58222500,86.76379861,27.98663506
110,1093,2043165,591482,204316500,59148200,88.14328675,28.9493017
111,1092,2005445,602244,200544500,60224400,89.74705162,30.03044212
112,1091,1967171,615087,196717100,61508700,91.66092936,31.26759189
113,1090,1928122,628699,192812200,62869900,93.6894043,32.606806
114,1089,1888899,642959,188889900,64295900,95.81444491,34.03882367
115,1088,1848851,660790,184885100,66079000,98.4716398,35.74057617
116,1087,1807474,685018,180747400,68501800,102.0821225,37.8991897
117,1086,1764646,709313,176464600,70931300,105.7025897,40.19576731
118,1085,1721999,739507,172199900,73950700,110.2021322,42.94468231
119,1084,1678153,773011,167815300,77301100,115.1949345,46.06320163
120,1083,1632981,811987,163298100,81198700,121.0031801,49.72421602
